,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
335,10837871,3,33.25,94.0,65.0,0.1729518855656697,0.4889466840052016,0.3381014304291287,2,11,33,89,10,7,1
336,10838426,3,122.0,222.0,0.0,0.3546511627906977,0.6453488372093024,0.0,2,22,65,31,6,4,1
337,10840534,4,123.75,41.5,75.5,0.514018691588785,0.17237798546209762,0.31360332294911736,1,144,149,293,14,5,1
338,10840303,5,30.75,171.0,82.75,0.10808435852372583,0.6010544815465729,0.29086115992970124,1,99,129,158,12,7,0
339,10849237,2,0.0,3.0,0.0,0.0,1.0,0.0,1,26,273,20,2,9,1
340,10841371,4,11.0,18.0,52.0,0.13580246913580246,0.2222222222222222,0.6419753086419753,1,16,35,21,4,5,1
341,10842494,5,211.0,98.0,0.0,0.6828478964401294,0.31715210355987056,0.0,1,43,91,42,6,9,1
342,10841617,8,110.0,171.5,258.5,0.2037037037037037,0.3175925925925926,0.4787037037037037,2,37,73,61,14,7,0
343,10842434,7,80.0,2114.0,238.0,0.03289473684210526,0.8692434210526315,0.09786184210526316,1,120,95,88,16,7,0
344,10843069,6,278.75,477.75,43.0,0.3486554096310194,0.5975609756097561,0.05378361475922452,3,136,91,249,21,21,1
345,10843484,3,0.0,5.0,8.0,0.0,0.38461538461538464,0.6153846153846154,1,0,18,39,4,4,0
346,10844491,7,1063.5,856.5,578.0,0.42574059247397916,0.34287429943955167,0.23138510808646917,4,90,60,158,32,10,0
347,10844938,2,45.0,0.0,0.0,1.0,0.0,0.0,1,1,26,39,3,7,1
348,10848655,3,0.0,35.0,2.0,0.0,0.9459459459459459,0.05405405405405406,2,11,90,48,5,6,0
349,10847790,4,8.25,55.0,2.0,0.12643678160919541,0.842911877394636,0.03065134099616858,1,56,99,151,10,6,0
350,10847614,2,25.5,38.75,15.0,0.3217665615141956,0.4889589905362776,0.1892744479495268,1,41,106,103,5,5,0
351,10847388,7,109.75,62.0,138.5,0.35374697824335216,0.1998388396454472,0.44641418211120065,3,61,67,137,13,12,1
352,10847965,4,60.25,44.0,0.0,0.5779376498800959,0.42206235011990406,0.0,2,9,37,44,8,5,0
353,10848058,5,121.0,63.5,38.0,0.5438202247191011,0.2853932584269663,0.1707865168539326,3,102,158,125,11,5,0
354,10848657,6,7.0,464.5,203.0,0.010378057820607857,0.6886582653817642,0.30096367679762787,2,140,183,176,14,6,0
355,10848732,2,0.0,66.0,21.0,0.0,0.7586206896551724,0.2413793103448276,1,6,44,29,4,4,1
356,10851145,4,20.0,42.0,0.0,0.3225806451612903,0.6774193548387096,0.0,1,4,20,54,8,10,1
357,10852544,5,44.25,13.0,92.0,0.2964824120603015,0.08710217755443886,0.6164154103852596,3,34,58,85,12,6,1
358,10854779,5,35.0,101.0,19.5,0.22508038585209003,0.6495176848874598,0.12540192926045016,2,141,226,399,10,4,0
359,10852584,2,0.0,17.5,33.0,0.0,0.3465346534653465,0.6534653465346535,2,1,21,13,4,4,0
360,10853518,3,226.0,0.0,0.0,1.0,0.0,0.0,1,10,253,38,3,4,1
361,10854644,5,91.5,403.0,220.0,0.12806158152554234,0.5640307907627712,0.3079076277116865,1,20,39,26,10,6,0
362,10854751,7,435.75,124.0,2.5,0.7750111160515785,0.22054246331702979,0.004446420631391729,4,40,22,128,30,5,1
363,10857689,3,0.0,8.0,0.0,0.0,1.0,0.0,1,12,83,69,8,8,1
364,10860876,7,517.5,382.5,143.0,0.49616490891658677,0.3667305848513902,0.137104506232023,2,177,183,258,17,7,1
365,10855677,5,3.0,21.0,151.0,0.017142857142857144,0.12,0.8628571428571429,1,22,52,137,13,6,0
366,10856340,3,24.0,992.0,203.0,0.019688269073010665,0.8137817883511075,0.16652994257588188,1,60,91,65,10,4,1
367,10856542,4,644.75,162.5,22.0,0.7775097980102502,0.19596020500452216,0.026529996985227615,1,65,151,106,16,4,1
368,10860241,2,70.0,0.0,0.0,1.0,0.0,0.0,2,0,38,15,4,4,1
369,10858450,11,522.5,679.0,528.5,0.3020231213872832,0.392485549132948,0.30549132947976876,3,315,110,599,43,7,0
370,10859109,2,5.0,0.0,2.0,0.7142857142857143,0.0,0.2857142857142857,1,21,84,47,3,4,0
